	wt_2
Name=A1BG	0
Name=NAT2	0
Name=ADA	0
Name=CDH2	1
Name=AKT3	1
Name=RNA5-8S5	7129
Name=RNA18S5	22495
Name=RNA28S5	66088
Name=TRY-GTA7-1	0
Name=TRY-GTA5-2	56
Name=TRF-GAA2-1	4
Name=TRF-GAA1-2	14
Name=TRH-GTG1-9	676
Name=ANO1-AS2	0
Name=ZBTB11-AS1	0
Name=MED6	0
Name=NR2E3	0
Name=NAALAD2	0
Name=DUXB	0
Name=MIR675	0
Name=PDZK1P2	0
Name=DDTL	0
Name=TLX1NB	0
Name=NAALADL1	0
Name=CDKN2B-AS1	0
Name=GUSBP9	0
Name=SIGLEC14	0
Name=TRK-TTT3-3	269
Name=TRV-CAC1-5	528
Name=LOC100049716	0
Name=ACOT8	1
Name=ABI1	0
Name=GNPDA1	1
Name=MIMT1	0
Name=KCNE3	0
Name=ZBTB33	0
Name=SNHG8	1
Name=LOC100093631	0
Name=GS1-600G8.3	0
Name=CDH3	0
Name=TANK	3
Name=TTTY21B	0
Name=TTTY1B	0
Name=TTTY2B	0
Name=TTTY8B	0
Name=TTTY7B	0
Name=TTTY23B	0
Name=LOC100101148	0
Name=HAVCR1P1	0
Name=POM121C	2
Name=PMS2P7	0
Name=ZSCAN30	0
Name=LOC100101478	0
Name=MCTS2P	0
Name=ANKRD26P3	1
Name=SRA1	0
Name=SNORD119	50
Name=SNORD121A	0
Name=SNORD125	2
Name=SNORD19B	24
Name=SNORD105B	224
Name=SNORD123	0
Name=UCKL1-AS1	0
Name=SNORD127	0
Name=SNORD126	5
Name=SNORD11B	5
Name=SNORD12B	38
Name=SNORD111B	1
Name=LINC00577	0
Name=LINC00583	0
Name=TMEM170B	0
Name=FAM138E	0
Name=SNORD58C	35
Name=SCARNA27	0
Name=SNORA84	0
Name=SNORA36C	2
Name=SNORA38B	0
Name=SNORA70B	0
Name=SNORA70C	0
Name=SNORA11B	0
Name=SNORA11C	0
Name=SNORA11D	0
Name=HOTAIR	0
Name=ZGLP1	0
Name=FAM86JP	0
Name=FMR1-AS1	1
Name=MIR298	0
Name=MIR300	0
Name=VTRNA2-1	0
Name=MIR509-2	0
Name=MIR450B	4
Name=MIR890	0
Name=MIR891B	0
Name=MIR888	0
Name=MIR892B	0
Name=MIR541	0
Name=MIR875	0
Name=MIR876	0
Name=MIR147B	2
Name=MIR744	42
Name=MIR877	2
Name=MIR665	0
Name=MIR873	1
Name=MIR374B	10
Name=MIR301B	41
Name=MIR216B	0
Name=MIR920	0
Name=MIR922	0
Name=MIR924	0
Name=MIR934	0
Name=MIR935	0
Name=MIR936	0
Name=MIR938	0
Name=MIR940	0
Name=MIR942	1
Name=MIR943	0
Name=MIR708	0
Name=MIR885	19
Name=MIR543	0
Name=MIR208B	0
Name=MIR509-3	0
Name=MIR937	2
Name=MIR944	0
Name=MIR891A	0
Name=MIR892A	0
Name=MIR874	2
Name=MIR889	0
Name=MIR190B	0
Name=MIR887	0
Name=MIR760	0
Name=MIR921	0
Name=MIR933	0
Name=MIR939	0
Name=MIR297	0
Name=MIR365A	8
Name=MIR365B	2
Name=LOC100126447	0
Name=TRNAL-CAA	47
Name=TRNAI-AAU	51
Name=TRNAM-CAU	33
Name=TRNAV-CAC	0
Name=TRNAQ-CUG	118
Name=TRNAN-GUU	0
Name=TRNAK-CUU	172
Name=TRNAE-UUC	34
Name=TRNAC-GCA	8
Name=TRNAG-CCC	34
Name=LOC100126584	0
Name=LINC00322	0
Name=SNAR-G1	0
Name=SNAR-F	0
Name=LOC100126784	0
Name=EGOT	0
Name=GHRLOS	0
Name=SNAR-A1	0
Name=SNAR-A2	0
Name=SNAR-A12	0
Name=KIAA1024L	0
Name=SLCO4A1-AS1	0
Name=C10orf131	0
Name=HECW1-IT1	0
Name=LOC100127955	0
Name=KRT73-AS1	0
Name=C8orf88	0
Name=LOC100128002	0
Name=LOC100128006	0
Name=DPPA2P3	0
Name=WWTR1-AS1	0
Name=LOC100128045	0
Name=PLCE1-AS1	0
Name=SMARCA5-AS1	0
Name=FAM229A	0
Name=LOC100128076	0
Name=LOC100128079	0
Name=JAZF1-AS1	0
Name=ST8SIA6-AS1	0
Name=PHBP16	0
Name=LOC100128108	0
Name=LOC100128121	0
Name=HGC6.3	0
Name=STAU2-AS1	0
Name=ADGRA1-AS1	0
Name=LINC01233	0
Name=LOC100128164	0
Name=LOC100128176	0
Name=TMPO-AS1	0
Name=LOC100128233	0
Name=LOC100128239	0
Name=LOC100128242	0
Name=ZNF667-AS1	0
Name=HTR5A-AS1	0
Name=LOC100128276	0
Name=DNM1P35	0
Name=LOC100128288	0
Name=DLG5-AS1	0
Name=LOC100128317	0
Name=LOC100128325	0
Name=TRAPPC3L	0
Name=FAM83H-AS1	0
Name=LOC100128340	0
Name=LOC100128361	0
Name=LOC100128364	0
Name=LINC00696	0
Name=FAM225B	0
Name=LOC100128386	0
Name=LOC100128398	0
Name=LINC00892	0
Name=LOC100128454	0
Name=TPT1P2	1
Name=LOC100128494	0
Name=C20orf78	0
Name=LOC100128497	0
Name=ASTN2-AS1	0
Name=NEBL-AS1	0
Name=LOC100128531	0
Name=C1orf132	24
Name=LOC100128540	0
Name=CTAGE4	0
Name=LOC100128554	0
Name=MYHAS	1
Name=LOC100128568	0
Name=C19orf71	0
Name=LOC100128573	0
Name=SLC8A1-AS1	1
Name=LOC100128593	0
Name=LL0XNC01-116E7.2	0
Name=CDC42P3	0
Name=ACVR2B-AS1	0
Name=LOC100128653	0
Name=HPN-AS1	0
Name=LINC01531	0
Name=LOC100128714	0
Name=OST4	0
Name=RBPMS-AS1	1
Name=LOC100128770	0
Name=LOC100128772	0
Name=LINC00476	1
Name=LINC01349	0
Name=SRRM2-AS1	0
Name=GPR158-AS1	0
Name=LOC100128817	0
Name=LPEQ6126	0
Name=LINC01003	0
Name=VPS9D1-AS1	0
Name=LOC100128882	0
Name=LOC100128885	0
Name=FAM66B	0
Name=GATA6-AS1	0
Name=LOC100128905	0
Name=LOC100128908	0
Name=LOC100128926	0
Name=ZBTB42	1
Name=LINC01310	0
Name=LOC100128964	0
Name=LOC100128966	0
Name=MAPT-AS1	0
Name=LOC100128988	0
Name=LOC100128993	0
Name=C20orf181	0
Name=LOC100129027	0
Name=LOC100129029	0
Name=LOC100129034	1
Name=LOC100129046	0
Name=LOC100129055	0
Name=UNQ6494	0
Name=KTN1-AS1	0
Name=LOC100129083	0
Name=BTNL10	0
Name=LOC100129098	0
Name=LOC100129100	0
Name=KHDC1L	0
Name=LOC100129138	0
Name=LOC100129148	0
Name=LOC100129175	0
Name=ZSCAN16-AS1	0
Name=MATN1-AS1	0
Name=LOC100129203	0
Name=SLC39A12-AS1	0
Name=LOC100129215	0
Name=LOC100129216	0
Name=LOC100129223	0
Name=LOC100129224	0
Name=CXorf51A	0
Name=TOPORS-AS1	0
Name=LINC01160	0
Name=C1orf68	0
Name=TDRD15	0
Name=LOC100129291	0
Name=LOC100129307	0
Name=LOC100129316	0
Name=LOC100129340	0
Name=LOC100129345	0
Name=LINC00484	0
Name=NRADDP	0
Name=LOC100129361	0
Name=C9orf92	0
Name=GABPB1-AS1	0
Name=FAM106CP	0
Name=MSTO2P	0
Name=LINC00684	0
Name=RPL19P12	1
Name=DDC-AS1	0
Name=LOC100129434	0
Name=LOC100129455	0
Name=DPY19L1P1	0
Name=LOC100129461	1
Name=LINC01546	0
Name=LOC100129473	0
Name=LOC100129476	0
Name=MKRN2OS	1
Name=ZNF37BP	0
Name=LOC100129484	0
Name=PP13	0
Name=LINC00633	0
Name=LOC100129516	0
Name=LOC100129518	0
Name=LOC100129520	0
Name=MUC8	0
Name=LOC100129534	0
Name=ZNF730	0
Name=LOC100129550	0
Name=FAM47E	0
Name=LINC00462	0
Name=LOC100129603	0
Name=LOC100129617	0
Name=LOC100129620	0
Name=LOC100129636	0
Name=TCF24	0
Name=FGF13-AS1	0
Name=IZUMO3	0
Name=LOC100129697	0
Name=ARRDC3-AS1	0
Name=C9orf173-AS1	0
Name=LOC100129724	0
Name=LINC01126	0
Name=LOC100129781	0
Name=CCDC152	0
Name=SLC25A21-AS1	0
Name=ZNF807	0
Name=MRVI1-AS1	0
Name=COL4A2-AS2	0
Name=ZNF737	0
Name=PCOLCE-AS1	0
Name=SCOC-AS1	0
Name=LOC100129860	0
Name=LOC100129869	0
Name=LOC100129878	1
Name=LOC100129917	0
Name=LOC100129924	0
Name=LOC100129931	2
Name=LOC100129935	0
Name=LOC100129940	0
Name=CCNT2-AS1	0
Name=LOC100129973	0
Name=LINC01460	0
Name=HDAC6	0
Name=URAHP	0
Name=FTLP10	0
Name=LOC100130035	0
Name=LOC100130075	0
Name=HBCBP	0
Name=HSFX2	0
Name=LOC100130093	1
Name=KIF28P	0
	0
Name=LOC100130100	0
Name=LOC100130111	0
Name=MAPT-IT1	0
Name=LOC100130152	0
Name=MIR124-2HG	3
Name=LOC100130172	0
Name=HNRNPCP9	0
Name=EFCAB14-AS1	1
Name=LOC100130207	1
Name=LINC00861	0
Name=LOC100130238	0
Name=PP2672	0
Name=LOC100130256	0
